gender,race/ethnicity,parental level of education,test preparation course,lunch,math score,reading score,writing score
female,group D,some college,none,free/reduced,63.27272727272727,73.18181818181819,73.0
female,group D,some college,none,standard,71.54545454545455,76.9090909090909,76.81818181818181
female,group D,some high school,completed,free/reduced,48.0,68.66666666666667,68.33333333333333
female,group D,some high school,completed,standard,72.16666666666667,80.33333333333333,82.33333333333333
female,group D,some high school,none,free/reduced,48.0,59.0,57.0
female,group D,some high school,none,standard,66.0,75.0,73.91666666666667
female,group E,associate's degree,completed,free/reduced,70.0,77.0,80.5
female,group E,associate's degree,completed,standard,82.8,87.4,88.8
female,group E,associate's degree,none,free/reduced,64.33333333333333,72.0,71.0
female,group E,associate's degree,none,standard,75.0,79.375,78.875
female,group E,bachelor's degree,completed,free/reduced,92.0,100.0,100.0
female,group E,bachelor's degree,completed,standard,83.0,83.66666666666667,84.0
female,group E,bachelor's degree,none,free/reduced,61.0,58.0,62.0
female,group E,bachelor's degree,none,standard,69.2,74.8,73.2
female,group E,high school,completed,free/reduced,61.5,74.5,75.5
female,group E,high school,completed,standard,66.5,71.0,77.5
female,group E,high school,none,free/reduced,54.0,55.0,55.0
female,group E,high school,none,standard,74.4,77.2,72.0
female,group E,master's degree,completed,standard,91.0,99.0,97.5
female,group E,master's degree,none,free/reduced,60.666666666666664,71.33333333333333,68.66666666666667
female,group E,master's degree,none,standard,71.5,80.0,79.5
female,group E,some college,completed,free/reduced,58.5,71.5,69.5
female,group E,some college,completed,standard,72.0,77.25,77.5
female,group E,some college,none,free/reduced,62.0,67.0,63.5
female,group E,some college,none,standard,74.0,76.0,77.375
female,group E,some high school,completed,standard,80.0,85.0,85.0
female,group E,some high school,none,free/reduced,54.0,59.0,58.0
female,group E,some high school,none,standard,77.0,79.0,80.0
male,group A,associate's degree,completed,free/reduced,59.5,68.5,67.5
male,group A,associate's degree,completed,standard,97.0,92.0,86.0
male,group A,associate's degree,none,free/reduced,54.5,59.0,49.5
male,group A,associate's degree,none,standard,61.333333333333336,57.0,53.666666666666664
male,group A,bachelor's degree,completed,free/reduced,49.0,58.0,60.0
male,group A,bachelor's degree,completed,standard,80.66666666666667,73.33333333333333,76.66666666666667
male,group A,bachelor's degree,none,free/reduced,62.0,72.0,65.0
male,group A,bachelor's degree,none,standard,74.5,71.75,70.0
male,group A,high school,completed,free/reduced,72.0,67.0,65.0
male,group A,high school,completed,standard,72.0,73.0,74.0
male,group A,high school,none,free/reduced,48.666666666666664,50.0,44.666666666666664
male,group A,high school,none,standard,62.5,58.833333333333336,56.5
male,group A,master's degree,none,free/reduced,73.0,74.0,72.0
male,group A,some college,completed,free/reduced,65.5,62.5,67.5
male,group A,some college,completed,standard,79.66666666666667,73.0,69.33333333333333
male,group A,some college,none,free/reduced,53.666666666666664,54.666666666666664,50.0
male,group A,some college,none,standard,61.0,55.0,56.0
male,group A,some high school,completed,free/reduced,61.0,62.0,61.0
male,group A,some high school,completed,standard,55.25,56.25,56.25
male,group A,some high school,none,free/reduced,61.2,59.6,53.4
male,group A,some high school,none,standard,59.75,49.25,44.25
male,group B,associate's degree,completed,free/reduced,69.66666666666667,68.33333333333333,63.333333333333336
male,group B,associate's degree,completed,standard,79.75,80.0,78.75
male,group B,associate's degree,none,free/reduced,57.25,54.25,52.75
male,group B,associate's degree,none,standard,73.14285714285714,64.42857142857143,61.857142857142854
male,group B,bachelor's degree,completed,free/reduced,87.0,90.0,88.0
male,group B,bachelor's degree,none,free/reduced,65.2,60.8,57.8
male,group B,bachelor's degree,none,standard,62.666666666666664,61.666666666666664,59.0
male,group B,high school,completed,standard,67.66666666666667,60.0,59.5
male,group B,high school,none,free/reduced,48.8,44.6,40.8
male,group B,high school,none,standard,63.111111111111114,58.888888888888886,56.44444444444444
male,group B,master's degree,none,free/reduced,49.0,53.0,52.0
male,group B,some college,completed,free/reduced,64.33333333333333,68.0,67.33333333333333
male,group B,some college,completed,standard,78.0,80.5,78.0
male,group B,some college,none,free/reduced,54.166666666666664,53.166666666666664,48.333333333333336
male,group B,some college,none,standard,62.142857142857146,56.0,53.714285714285715
male,group B,some high school,completed,free/reduced,49.0,50.0,52.0
male,group B,some high school,completed,standard,71.77777777777777,70.44444444444444,67.66666666666667
male,group B,some high school,none,free/reduced,48.0,52.0,45.0
male,group B,some high school,none,standard,73.8,66.6,62.6
male,group C,associate's degree,completed,free/reduced,62.2,63.4,64.2
male,group C,associate's degree,completed,standard,75.14285714285714,75.85714285714286,75.0
male,group C,associate's degree,none,free/reduced,66.375,63.25,60.0
male,group C,associate's degree,none,standard,70.92307692307692,66.92307692307692,64.46153846153847
male,group C,bachelor's degree,completed,free/reduced,70.0,75.0,74.0
male,group C,bachelor's degree,completed,standard,83.0,80.16666666666667,80.0
male,group C,bachelor's degree,none,free/reduced,50.333333333333336,60.0,54.333333333333336
male,group C,bachelor's degree,none,standard,74.0,69.75,67.0
male,group C,high school,completed,free/reduced,50.333333333333336,49.333333333333336,51.0
male,group C,high school,completed,standard,70.71428571428571,66.14285714285714,64.28571428571429
male,group C,high school,none,free/reduced,55.285714285714285,57.285714285714285,52.57142857142857
male,group C,high school,none,standard,70.3529411764706,66.58823529411765,62.0
male,group C,master's degree,completed,free/reduced,64.75,63.25,67.0
male,group C,master's degree,completed,standard,91.0,85.0,85.0
male,group C,master's degree,none,free/reduced,64.66666666666667,69.0,62.333333333333336
male,group C,master's degree,none,standard,74.0,68.5,68.0
male,group C,some college,completed,free/reduced,58.5,61.0,61.5
male,group C,some college,completed,standard,90.0,83.0,86.0
male,group C,some college,none,free/reduced,63.285714285714285,59.0,54.857142857142854
male,group C,some college,none,standard,66.53846153846153,61.0,58.15384615384615
male,group C,some high school,completed,free/reduced,52.8,55.0,53.4
male,group C,some high school,completed,standard,71.0,71.25,66.75
male,group C,some high school,none,free/reduced,69.25,66.75,60.0
male,group C,some high school,none,standard,63.0,61.0,54.5
male,group D,associate's degree,completed,free/reduced,70.0,76.5,76.5
male,group D,associate's degree,completed,standard,75.5,70.5,73.0
male,group D,associate's degree,none,free/reduced,70.57142857142857,68.42857142857143,65.85714285714286
male,group D,associate's degree,none,standard,71.0,66.3076923076923,63.61538461538461
male,group D,bachelor's degree,completed,free/reduced,62.0,65.5,67.25
male,group D,bachelor's degree,completed,standard,67.5,67.5,71.0
male,group D,bachelor's degree,none,free/reduced,59.0,55.5,56.5
male,group D,bachelor's degree,none,standard,73.2,66.2,66.6
male,group D,high school,completed,free/reduced,71.66666666666667,69.66666666666667,71.0
male,group D,high school,completed,standard,61.5,52.5,57.0
male,group D,high school,none,free/reduced,61.625,61.5,57.5
male,group D,high school,none,standard,63.57142857142857,61.42857142857143,58.785714285714285
male,group D,master's degree,completed,free/reduced,84.0,89.0,90.0
male,group D,master's degree,none,standard,83.57142857142857,80.28571428571429,80.0
male,group D,some college,completed,free/reduced,69.0,60.0,63.0
male,group D,some college,completed,standard,75.22222222222223,73.0,75.22222222222223
male,group D,some college,none,free/reduced,63.75,59.375,58.375
male,group D,some college,none,standard,68.92857142857143,63.285714285714285,63.5
male,group D,some high school,completed,free/reduced,67.5,69.0,69.0
male,group D,some high school,completed,standard,76.875,73.375,74.375
male,group D,some high school,none,free/reduced,55.5,45.5,45.5
male,group D,some high school,none,standard,73.18181818181819,69.81818181818181,66.0
male,group E,associate's degree,completed,free/reduced,78.4,71.8,71.4
male,group E,associate's degree,completed,standard,76.14285714285714,71.71428571428571,70.28571428571429
male,group E,associate's degree,none,free/reduced,66.66666666666667,63.0,58.333333333333336
male,group E,associate's degree,none,standard,74.83333333333333,64.5,63.666666666666664
male,group E,bachelor's degree,completed,free/reduced,74.5,71.0,72.0
male,group E,bachelor's degree,completed,standard,82.75,73.0,76.75
male,group E,bachelor's degree,none,standard,75.0,65.0,63.0
male,group E,high school,completed,free/reduced,71.5,68.5,64.5
male,group E,high school,completed,standard,84.0,85.5,78.5
male,group E,high school,none,free/reduced,55.0,56.0,51.0
male,group E,high school,none,standard,80.2,68.2,63.6
male,group E,master's degree,none,standard,90.0,85.0,84.0
male,group E,some college,completed,free/reduced,68.0,63.0,60.5
male,group E,some college,completed,standard,87.25,79.75,74.5
male,group E,some college,none,free/reduced,93.0,90.0,83.0
male,group E,some college,none,standard,73.75,67.75,63.333333333333336
male,group E,some high school,completed,free/reduced,75.5,75.0,69.5
male,group E,some high school,completed,standard,79.33333333333333,72.33333333333333,70.5
male,group E,some high school,none,standard,74.5,67.0,59.75
